Measurement	Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
Mo_300Sb_35Se_2 2026-07-09 11-07-31	0.13526426	0.00202917	11.93737338386061	0.00103378	0.06916386	0.07150041	24.065702612432627	0.44412889754892554	60.404166	71.273	0.00014098				14.824	11:07:31	2026-09-07
Mo_300Sb_35Se_3 2026-07-09 11-09-22	0.14847342	0.00196121	12.200640632758006	0.00099947	0.07544018	0.0754003	23.92176975791046	0.49532874364705903	69.397086	81.08	0.00014912				14.822	11:09:22	2026-09-07
Mo_300Sb_35Se_4 2026-07-09 11-10-46	0.23489243	0.00166906	13.583971237219377	0.00085369	0.12220001	0.10432057	24.582308852797173	0.8965926537649891	116.055781	156.429	0.00020468				14.578	11:10:46	2026-09-07
Mo_300Sb_35Se_5 2026-07-09 11-13-26	0.26837173	0.00260675	17.972416396922096	0.00139954	0.14430398	0.2019587	26.669797158819566	1.4703989627844516	74.662815	137.598	0.00038496				14.558	11:13:26	2026-09-07
Mo_300Sb_35Se_6 2026-07-09 11-14-48	0.24815251	0.00278157	15.283824583435885	0.00147818	0.13136364	0.19417932	25.988749017909797	1.1266131039944471	68.466026	112.9	0.00037343				14.559	11:14:48	2026-09-07
Mo_300Sb_35Se_7 2026-07-09 11-18-27	0.09454997	0.00153672	8.03585880750991	0.00077527	0.04829435	0.03744133	23.806013745897445	0.20674779291212472	57.70103	64.98	7.407e-05				14.574	11:18:27	2026-09-07
Mo_300Sb_35Se_8 2026-07-09 11-27-24	0.05278817	0.0024383	16.292205509040656	0.00121831	0.02665683	0.03247635	23.309639402285377	0.22915449088741782	21.261311	22.08	6.48e-05				14.303	11:27:24	2026-09-07
Mo_300Sb_35Se_9 2026-07-09 11-33-11	0.2802774	0.00190313	17.607216067195395	0.00101547	0.15296267	0.1553295	26.902325396837725	1.5174855020078934	97.147429	194.896	0.00029543				14.825	11:33:11	2026-09-07
Mo_300Sb_35Se_10 2026-07-09 11-38-09	0.31310053	0.0025143	17.446170891408723	0.00147265	0.1828467	0.26926871	31.599266468478305	1.9729801159210982	63.997911	229.476	0.0004821				14.57	11:38:09	2026-09-07
Mo_300Sb_35Se_11 2026-07-09 11-44-14	0.33753093	0.00255651	17.295598249047476	0.00152866	0.20028421	0.30616655	32.77844423171383	2.1871968081583204	60.419869	285.366	0.0005427				14.563	11:44:14	2026-09-07
Mo_300Sb_35Se_12 2026-07-09 11-50-03	0.3415921	0.00237481	21.421744497238052	0.00165382	0.21444373	0.3546516	40.388501286440096	3.378107393299261	50.223735	865.664	0.00057996				14.564	11:50:03	2026-09-07
