Mo_300Sb_35Se_2 2026-07-09 11-07-31		Mo_300Sb_35Se_3 2026-07-09 11-09-22		Mo_300Sb_35Se_4 2026-07-09 11-10-46		Mo_300Sb_35Se_5 2026-07-09 11-13-26		Mo_300Sb_35Se_6 2026-07-09 11-14-48		Mo_300Sb_35Se_7 2026-07-09 11-18-27		Mo_300Sb_35Se_8 2026-07-09 11-27-24		Mo_300Sb_35Se_9 2026-07-09 11-33-11		Mo_300Sb_35Se_10 2026-07-09 11-38-09		Mo_300Sb_35Se_11 2026-07-09 11-44-14		Mo_300Sb_35Se_12 2026-07-09 11-50-03	
Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas
-0.10000000	0.00360123	-0.10000000	0.00338859	-0.10000000	0.00248573	-0.10000000	0.00355854	-0.10000000	0.00388948	-0.10000000	0.00324907	-0.10000000	0.00742497	-0.10000000	0.00254311	-0.10000000	0.00315826	-0.10000000	0.00311192	-0.10000000	0.00267549
-0.09530000	0.00353966	-0.09530000	0.00333202	-0.09530000	0.00245417	-0.09530000	0.00352618	-0.09530000	0.00385169	-0.09530000	0.00317872	-0.09530000	0.00720600	-0.09530000	0.00252678	-0.09530000	0.00313993	-0.09530000	0.00310089	-0.09530000	0.00267378
-0.09060000	0.00347834	-0.09060000	0.00327613	-0.09060000	0.00242351	-0.09060000	0.00349367	-0.09060000	0.00381291	-0.09060000	0.00310701	-0.09060000	0.00698777	-0.09060000	0.00250814	-0.09060000	0.00312111	-0.09060000	0.00308644	-0.09060000	0.00267012
-0.08590000	0.00341788	-0.08590000	0.00321807	-0.08590000	0.00239126	-0.08590000	0.00346042	-0.08590000	0.00377497	-0.08590000	0.00303674	-0.08590000	0.00676809	-0.08590000	0.00249184	-0.08590000	0.00310181	-0.08590000	0.00307123	-0.08590000	0.00266522
-0.08120000	0.00335649	-0.08120000	0.00316173	-0.08120000	0.00236061	-0.08120000	0.00342633	-0.08120000	0.00373546	-0.08120000	0.00296484	-0.08120000	0.00654825	-0.08120000	0.00247191	-0.08120000	0.00308287	-0.08120000	0.00305588	-0.08120000	0.00266179
-0.07650000	0.00329319	-0.07650000	0.00310591	-0.07650000	0.00232868	-0.07650000	0.00339617	-0.07650000	0.00369695	-0.07650000	0.00289093	-0.07650000	0.00632634	-0.07650000	0.00245029	-0.07650000	0.00306289	-0.07650000	0.00303734	-0.07650000	0.00266091
-0.07180000	0.00322903	-0.07180000	0.00304715	-0.07180000	0.00229800	-0.07180000	0.00336126	-0.07180000	0.00365753	-0.07180000	0.00281757	-0.07180000	0.00610484	-0.07180000	0.00242818	-0.07180000	0.00304090	-0.07180000	0.00302118	-0.07180000	0.00265727
-0.06710000	0.00316307	-0.06710000	0.00298817	-0.06710000	0.00226633	-0.06710000	0.00332890	-0.06710000	0.00361802	-0.06710000	0.00274618	-0.06710000	0.00588161	-0.06710000	0.00240766	-0.06710000	0.00302276	-0.06710000	0.00300679	-0.06710000	0.00265224
-0.06240000	0.00309849	-0.06240000	0.00292957	-0.06240000	0.00223345	-0.06240000	0.00329342	-0.06240000	0.00357995	-0.06240000	0.00267273	-0.06240000	0.00565796	-0.06240000	0.00238614	-0.06240000	0.00300261	-0.06240000	0.00299142	-0.06240000	0.00264822
-0.05770000	0.00303381	-0.05770000	0.00286931	-0.05770000	0.00220143	-0.05770000	0.00325882	-0.05770000	0.00353816	-0.05770000	0.00259839	-0.05770000	0.00543497	-0.05770000	0.00236447	-0.05770000	0.00298400	-0.05770000	0.00297609	-0.05770000	0.00264356
-0.05300000	0.00297092	-0.05300000	0.00281229	-0.05300000	0.00216819	-0.05300000	0.00322646	-0.05300000	0.00349775	-0.05300000	0.00252285	-0.05300000	0.00521070	-0.05300000	0.00234047	-0.05300000	0.00296486	-0.05300000	0.00295866	-0.05300000	0.00263884
-0.04830000	0.00290274	-0.04830000	0.00275209	-0.04830000	0.00213771	-0.04830000	0.00319464	-0.04830000	0.00345552	-0.04830000	0.00244879	-0.04830000	0.00498637	-0.04830000	0.00231704	-0.04830000	0.00294258	-0.04830000	0.00294309	-0.04830000	0.00263376
-0.04360000	0.00283713	-0.04360000	0.00269341	-0.04360000	0.00210720	-0.04360000	0.00315790	-0.04360000	0.00341479	-0.04360000	0.00237297	-0.04360000	0.00475916	-0.04360000	0.00229213	-0.04360000	0.00292051	-0.04360000	0.00292694	-0.04360000	0.00263035
-0.03895000	0.00277113	-0.03895000	0.00263385	-0.03895000	0.00207557	-0.03895000	0.00312229	-0.03895000	0.00337148	-0.03895000	0.00229998	-0.03895000	0.00453376	-0.03895000	0.00226847	-0.03895000	0.00290096	-0.03895000	0.00291181	-0.03895000	0.00262497
