Measurement	Voc V	Isc A	Jsc mA/cm2	Imax A	Vmax V	Pmax mW	Fill Factor	Efficiency	R at Voc	R at Isc	Power W	RShunt ohms	Cell Temp start	Cell Temp end	Exposure	Time	Date
Mo_200Sb_25Se_1 2026-07-09 10-35-34	0.3242795	0.00243697	14.452860248951787	0.00154951	0.19938175	0.30894378	43.08390781883061	1.9347415547938676	55.298191	393.887	0.00052512				14.574	10:35:34	2026-09-07
Mo_200Sb_25Se_2 2026-07-09 10-37-35	0.33148791	0.00086055	13.943872112025279	0.00055537	0.20506322	0.11388587	43.99773542315287	1.9486246547790218	151.969268	1523.02	0.00019286				14.82	10:37:35	2026-09-07
Mo_200Sb_25Se_3 2026-07-09 10-39-51	0.17293432	0.00184531	10.733455019992	0.00102233	0.09556104	0.09769483	33.738554825713976	0.6000584326916727	61.064467	138.442	0.00018221				14.551	10:39:51	2026-09-07
Mo_200Sb_25Se_4 2026-07-09 10-41-36	0.263739	0.00164201	12.520594704207625	0.00096768	0.14676306	0.14201983	36.141264597715164	1.1434955948556569	98.151136	352.24	0.00025956				14.562	10:41:36	2026-09-07
Mo_200Sb_25Se_5 2026-07-09 10-43-16	0.30209494	0.00182267	13.337735839638537	0.00112714	0.17675443	0.19922645	39.874931434043404	1.5394815316871193	82.666551	472.58	0.00035023				14.562	10:43:16	2026-09-07
Mo_200Sb_25Se_6 2026-07-09 10-44-50	0.15662631	0.00127123	13.897670779506644	0.00067162	0.08369851	0.05621359	31.11400050866929	0.6489668698942753	95.720446	156.853	0.00010794				14.54	10:44:50	2026-09-07
Mo_200Sb_25Se_7 2026-07-09 10-46-49	0.06911703	0.00125906	6.012948488728604	0.00063048	0.03468179	0.02186623	27.69155522981886	0.11024814694093185	53.936277	55.348	4.365e-05				14.82	10:46:49	2026-09-07
Mo_200Sb_25Se_9 2026-07-09 10-48-24	0.07495999	0.0010319	13.769735418001881	0.00054747	0.04037762	0.02210549	31.494541598602325	0.3115077271178758	54.989854	93.004	4.227e-05				14.554	10:48:24	2026-09-07
Mo_200Sb_25Se_10 2026-07-09 10-49-56	0.23712544	0.0015007	14.038383329584804	0.00090704	0.13860261	0.12571858	38.934323787771035	1.241856904554398	81.45255	376.179	0.00022277				14.819	10:49:56	2026-09-07
Mo_200Sb_25Se_11 2026-07-09 10-51-10	0.18951907	0.00132303	12.126304147954153	0.00070575	0.10315643	0.07280225	31.99840312862661	0.7045900090504822	102.822162	186.907	0.00013836				14.543	10:51:10	2026-09-07
Mo_200Sb_25Se_12 2026-07-09 10-52-29	0.32984343	0.00186959	14.255873360662822	0.00124834	0.20757043	0.25911934	46.30743138689935	2.086366784043495	66.73133	854.325	0.00042908				14.57	10:52:29	2026-09-07
Mo_200Sb_25Se_13 2026-07-09 10-54-24	0.33689226	0.00078231	15.774717001825735	0.00056331	0.24004904	0.1352227	56.543689150076425	2.8792460498623114	88.221687	2438.373	0.0002039				14.813	10:54:24	2026-09-07
Mo_200Sb_25Se_14 2026-07-09 10-55-42	0.2375136	0.00189844	15.380588886916014	0.00112384	0.13390046	0.1504827	36.77957736715975	1.2874079907801985	73.927166	265.199	0.00027268				14.825	10:55:42	2026-09-07
