Mo_400Sb_30Se_1 2026-07-09 12-05-45		Mo_400Sb_30Se_2 2026-07-09 12-07-33		Mo_400Sb_30Se_3 2026-07-09 12-09-34		Mo_400Sb_30Se_5 2026-07-09 12-11-24		Mo_400Sb_30Se_6 2026-07-09 12-12-38		Mo_400Sb_30Se_7 2026-07-09 12-13-59		Mo_400Sb_30Se_8 2026-07-09 12-15-13		Mo_400Sb_30Se_9 2026-07-09 12-16-33		Mo_400Sb_30Se_10 2026-07-09 12-17-48		Mo_400Sb_30Se_11 2026-07-09 12-19-34		Mo_400Sb_30Se_12 2026-07-09 12-22-06	
Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas
-0.01075000	0.00160467	-0.01075000	0.00163585	-0.01075000	0.00194152	-0.01075000	0.00182247	-0.01075000	0.00258940	-0.01075000	0.00212176	-0.01075000	0.00240170	-0.01075000	0.00113412	-0.01075000	0.00200985	-0.01075000	0.00212715	-0.01075000	0.00183047
-0.00605000	0.00150766	-0.00605000	0.00154143	-0.00605000	0.00182568	-0.00605000	0.00174047	-0.00605000	0.00255487	-0.00605000	0.00205208	-0.00605000	0.00233856	-0.00605000	0.00109249	-0.00605000	0.00198498	-0.00605000	0.00210313	-0.00605000	0.00180873
-0.00135000	0.00141058	-0.00135000	0.00144774	-0.00135000	0.00170979	-0.00135000	0.00165844	-0.00135000	0.00251883	-0.00135000	0.00198361	-0.00135000	0.00227664	-0.00135000	0.00105202	-0.00135000	0.00196206	-0.00135000	0.00207808	-0.00135000	0.00178641
0.00335000	0.00131319	0.00335000	0.00135303	0.00335000	0.00159176	0.00335000	0.00157388	0.00335000	0.00248539	0.00335000	0.00191471	0.00335000	0.00221175	0.00335000	0.00101004	0.00335000	0.00193866	0.00335000	0.00205338	0.00335000	0.00176504
0.00805000	0.00121655	0.00805000	0.00125926	0.00805000	0.00147534	0.00805000	0.00149069	0.00805000	0.00244921	0.00805000	0.00184589	0.00805000	0.00214802	0.00805000	0.00096728	0.00805000	0.00191339	0.00805000	0.00202855	0.00805000	0.00174084
0.01275000	0.00111952	0.01275000	0.00116406	0.01275000	0.00135985	0.01275000	0.00140852	0.01275000	0.00241186	0.01275000	0.00177597	0.01275000	0.00208261	0.01275000	0.00092593	0.01275000	0.00188860	0.01275000	0.00200441	0.01275000	0.00171862
0.01745000	0.00102118	0.01745000	0.00106976	0.01745000	0.00124123	0.01745000	0.00132405	0.01745000	0.00237804	0.01745000	0.00170743	0.01745000	0.00201752	0.01745000	0.00088408	0.01745000	0.00186231	0.01745000	0.00197756	0.01745000	0.00169572
0.02215000	0.00092241	0.02215000	0.00097542	0.02215000	0.00112301	0.02215000	0.00123941	0.02215000	0.00234309	0.02215000	0.00163701	0.02215000	0.00195282	0.02215000	0.00084236	0.02215000	0.00183689	0.02215000	0.00195184	0.02215000	0.00167231
0.02685000	0.00082298	0.02685000	0.00087908	0.02685000	0.00100332	0.02685000	0.00115555	0.02685000	0.00230563	0.02685000	0.00156740	0.02685000	0.00188714	0.02685000	0.00079920	0.02685000	0.00181165	0.02685000	0.00192531	0.02685000	0.00164940
0.03155000	0.00072563	0.03155000	0.00078489	0.03155000	0.00088361	0.03155000	0.00107008	0.03155000	0.00226996	0.03155000	0.00149874	0.03155000	0.00182287	0.03155000	0.00075737	0.03155000	0.00178677	0.03155000	0.00189870	0.03155000	0.00162504
0.03625000	0.00062676	0.03625000	0.00068888	0.03625000	0.00076328	0.03625000	0.00098517	0.03625000	0.00223370	0.03625000	0.00142841	0.03625000	0.00175606	0.03625000	0.00071415	0.03625000	0.00176052	0.03625000	0.00187365	0.03625000	0.00160090
0.04095000	0.00052766	0.04095000	0.00059198	0.04095000	0.00064274	0.04095000	0.00090006	0.04095000	0.00219474	0.04095000	0.00135732	0.04095000	0.00168835	0.04095000	0.00066993	0.04095000	0.00173298	0.04095000	0.00184641	0.04095000	0.00157739
0.04565000	0.00042778	0.04565000	0.00049715	0.04565000	0.00052150	0.04565000	0.00081290	0.04565000	0.00215710	0.04565000	0.00128615	0.04565000	0.00161964	0.04565000	0.00062739	0.04565000	0.00170600	0.04565000	0.00182055	0.04565000	0.00155383
0.05035000	0.00032716	0.05035000	0.00039989	0.05035000	0.00039947	0.05035000	0.00072691	0.05035000	0.00212174	0.05035000	0.00121671	0.05035000	0.00155006	0.05035000	0.00058428	0.05035000	0.00167925	0.05035000	0.00179268	0.05035000	0.00152946
