Mo_400deg_400Sb_35Se_1 2026-07-09 13-06-40		Mo_400deg_400Sb_35Se_2 2026-07-09 13-08-33		Mo_400deg_400Sb_35Se_3 2026-07-09 13-10-06		Mo_400deg_400Sb_35Se_6 2026-07-09 13-11-56		Mo_400deg_400Sb_35Se_10 2026-07-09 13-20-38		Mo_400deg_400Sb_35Se_11 2026-07-09 13-22-13		Mo_400deg_400Sb_35Se_12 2026-07-09 13-23-33		Mo_400deg_400Sb_35Se_7 2026-07-09 13-25-31		Mo_400deg_400Sb_35Se_8 2026-07-09 13-26-50		Mo_400deg_400Sb_35Se_9 2026-07-09 13-28-07	
Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas
-0.00135000	0.00068296	-0.00135000	0.00102209	-0.00135000	0.00085767	-0.00135000	0.00124061	-0.00135000	0.00071651	-0.00135000	0.00091349	-0.00135000	0.00079551	-0.00135000	0.00101979	-0.00135000	0.00072276	-0.00135000	0.00053755
0.00335000	0.00066069	0.00335000	0.00100722	0.00335000	0.00083726	0.00335000	0.00120404	0.00335000	0.00067840	0.00335000	0.00089203	0.00335000	0.00077083	0.00335000	0.00098372	0.00335000	0.00067436	0.00335000	0.00048872
0.00805000	0.00063834	0.00805000	0.00099318	0.00805000	0.00081752	0.00805000	0.00116641	0.00805000	0.00064067	0.00805000	0.00087044	0.00805000	0.00074690	0.00805000	0.00094739	0.00805000	0.00062714	0.00805000	0.00044047
0.01275000	0.00061615	0.01275000	0.00097851	0.01275000	0.00079756	0.01275000	0.00112860	0.01275000	0.00060282	0.01275000	0.00084897	0.01275000	0.00072137	0.01275000	0.00091159	0.01275000	0.00057945	0.01275000	0.00039215
0.01745000	0.00059370	0.01745000	0.00096368	0.01745000	0.00077694	0.01745000	0.00109024	0.01745000	0.00056488	0.01745000	0.00082668	0.01745000	0.00069729	0.01745000	0.00087565	0.01745000	0.00053205	0.01745000	0.00034371
0.02215000	0.00057111	0.02215000	0.00094915	0.02215000	0.00075563	0.02215000	0.00105258	0.02215000	0.00052691	0.02215000	0.00080441	0.02215000	0.00067226	0.02215000	0.00083955	0.02215000	0.00048429	0.02215000	0.00029530
0.02685000	0.00054893	0.02685000	0.00093414	0.02685000	0.00073549	0.02685000	0.00101386	0.02685000	0.00048849	0.02685000	0.00078277	0.02685000	0.00064739	0.02685000	0.00080395	0.02685000	0.00043619	0.02685000	0.00024707
0.03155000	0.00052673	0.03155000	0.00092033	0.03155000	0.00071546	0.03155000	0.00097654	0.03155000	0.00045052	0.03155000	0.00076176	0.03155000	0.00062211	0.03155000	0.00076780	0.03155000	0.00038898	0.03155000	0.00019906
0.03625000	0.00050404	0.03625000	0.00090589	0.03625000	0.00069462	0.03625000	0.00093881	0.03625000	0.00041254	0.03625000	0.00073929	0.03625000	0.00059778	0.03625000	0.00073191	0.03625000	0.00034074	0.03625000	0.00015048
0.04095000	0.00048150	0.04095000	0.00089147	0.04095000	0.00067343	0.04095000	0.00090036	0.04095000	0.00037451	0.04095000	0.00071705	0.04095000	0.00057276	0.04095000	0.00069479	0.04095000	0.00029242	0.04095000	0.00010183
0.04565000	0.00045839	0.04565000	0.00087647	0.04565000	0.00065254	0.04565000	0.00086109	0.04565000	0.00033636	0.04565000	0.00069467	0.04565000	0.00054788	0.04565000	0.00065851	0.04565000	0.00024376	0.04565000	0.00005306
0.05035000	0.00043556	0.05035000	0.00086173	0.05035000	0.00063187	0.05035000	0.00082315	0.05035000	0.00029776	0.05035000	0.00067240	0.05035000	0.00052290	0.05035000	0.00062245	0.05035000	0.00019524	0.05035000	0.00000413
0.05505000	0.00041290	0.05505000	0.00084612	0.05505000	0.00061070	0.05505000	0.00078481	0.05505000	0.00025916	0.05505000	0.00065044	0.05505000	0.00049816	0.05505000	0.00058619	0.05505000	0.00014704	0.05505000	-0.00004545
0.05975000	0.00038968	0.05975000	0.00083203	0.05975000	0.00058933	0.05975000	0.00074525	0.05975000	0.00022055	0.05975000	0.00062781	0.05975000	0.00047299	0.05975000	0.00054931	0.05975000	0.00009851	0.05975000	-0.00009517
0.06445000	0.00036747	0.06445000	0.00081708	0.06445000	0.00056798	0.06445000	0.00070628	0.06445000	0.00018232	0.06445000	0.00060620	0.06445000	0.00044789	0.06445000	0.00051251	0.06445000	0.00004992	0.06445000	-0.00014447
0.06915000	0.00034442	0.06915000	0.00080224	0.06915000	0.00054685	0.06915000	0.00066736	0.06915000	0.00014477	0.06915000	0.00058346	0.06915000	0.00042287	0.06915000	0.00047597	0.06915000	-0.00000005	0.06915000	-0.00019414
0.07385000	0.00032124	0.07385000	0.00078646	0.07385000	0.00052532	0.07385000	0.00062735	0.07385000	0.00010646	0.07385000	0.00056105	0.07385000	0.00039738	0.07385000	0.00043926	0.07385000	-0.00004925	0.07385000	-0.00024391
0.07850000	0.00029846	0.07850000	0.00077217	0.07850000	0.00050385	0.07850000	0.00058773	0.07850000	0.00006750	0.07850000	0.00053840	0.07850000	0.00037215	0.07850000	0.00040329	0.07850000	-0.00009850	0.07850000	-0.00029286
