Plane (hkl),I_exp_raw,I_exp_normalized,I_reference,I_ratio,TC,TC_Error
120,86.9,1.1752772518258048,55.0,0.021368677305923723,0.031038298695772973,0.0
101,1535.0,20.760075737084122,12.0,1.7300063114236768,2.512858043144067,0.06384460174763427
310,322.0,4.354882337030024,16.0,0.2721801460643765,0.39534541851419686,0.03315008167665626
021,781.0,10.562618339193941,12.0,0.8802181949328284,1.2785290760231376,0.04911123211356483
211,7394.0,100.0,75.0,1.3333333333333333,1.9366850679877243,0.013358255134889632
221,6837.0,92.4668650256965,100.0,0.9246686502569651,1.3430939758417708,0.00884002178044167
301,5142.0,69.54287259940493,60.0,1.159047876656749,1.6835330368530026,0.01473336963406945
311,1652.0,22.34243981606708,20.0,1.117121990803354,1.6226351090321818,0.05107568139810743
240,104.0,1.4065458479848527,60.0,0.023442430799747546,0.03405045426540495,0.006220756067718212
321,1082.0,14.633486610765486,30.0,0.4877828870255162,0.7085113752916953,0.019644492845425934
041,423.0,5.720854747092237,25.0,0.22883418988368948,0.33238481894460675,0.02357339141451112
141,561.0,7.5872328915336755,35.0,0.21677808261524786,0.3148731567509699,0.01178669570725556
411,561.0,7.5872328915336755,12.0,0.6322694076278063,0.9183800405236622,0.0376519446203997
250,643.0,8.696240194752502,35.0,0.2484640055643572,0.36089739713168206,0.01290923815556561
520,50.0,0.676223965377333,20.0,0.03381119826886665,0.04911123211356483,0.009822246422712967
431,503.0,6.8028130916959695,35.0,0.19436608833417054,0.28231942574997837,0.01010288203479048
501,1107.0,14.971598593454152,30.0,0.49905328644847174,0.7248817859962169,0.02095412570178766
002,7052.0,95.37462807681905,25.0,3.814985123072762,5.541318541837747,0.03928898569085186
610,129.0,1.744657830673519,8.0,0.21808222883418987,0.3167674471324931,0.034377862479495376
212,478.0,6.464701109007303,8.0,0.8080876386259129,1.1737584475141993,0.03928898569085186
531,213.0,2.8807140925074384,16.0,0.1800446307817149,0.2615173110047327,0.01718893123974769
061,229.0,3.097105761428185,45.0,0.06882457247618189,0.09996864136894529,0.0061116199963547335
360,316.0,4.273735461184745,20.0,0.21368677305923725,0.31038298695772976,0.012768920349526857
322,875.0,11.833919394103328,14.0,0.8452799567216662,1.2277808028391206,0.026660383147363763
242,831.0,11.238842304571275,18.0,0.6243801280317375,0.9069207530304972,0.017461771418156382
422,831.0,11.238842304571275,10.0,1.1238842304571275,1.632457355454895,0.03143118855268149
