Plane (hkl),I_exp_raw,I_exp_normalized,I_reference,I_ratio,TC,TC_Error
020,389.72,10.855710306406687,25.0,0.43422841225626746,0.8508001921482253,0.0
120,824.0,22.952646239554316,55.0,0.41732084071916936,0.817672546175503,0.03473123679143521
130,492.0,13.70473537604457,30.0,0.456824512534819,0.8950735881678445,0.056396913075616215
021,296.0,8.245125348189415,12.0,0.6870937790157846,1.3462488927727743,0.10005903932770617
230,795.0,22.14484679665738,70.0,0.31635495423796256,0.6198462566144916,0.022610743951975164
211,1851.0,51.55988857938719,75.0,0.6874651810584959,1.3469765948769756,0.02474187154285098
221,3590.0,100.0,100.0,1.0,1.9593379155625374,0.017464850500835988
301,1191.0,33.17548746518106,60.0,0.552924791086351,1.0833665076299823,0.01819255260503749
311,444.0,12.367688022284122,20.0,0.6183844011142061,1.2116240034954966,0.060035423596623706
240,906.0,25.23676880222841,60.0,0.4206128133704735,0.8241226330081982,0.022740690756296863
321,1128.0,31.420612813370475,30.0,1.0473537604456824,2.0521199338482288,0.03638510521007498
041,981.0,27.325905292479106,25.0,1.0930362116991643,2.1416272926650133,0.05239455150250797
141,1308.0,36.43454038997215,35.0,1.0409868682849186,2.039645040633346,0.03586531799278819
411,119.0,3.3147632311977717,12.0,0.276230269266481,0.5412284399998653,3.0745413902513357
510,0.0,0.0,8.0,0.0,0.0,0.0
250,385.0,10.724233983286908,35.0,0.3064066852367688,0.600354235966237,0.02806850973348641
520,50.0,1.392757660167131,20.0,0.06963788300835655,0.13644414453778117,0.03274659468906748
431,533.0,14.846796657381617,35.0,0.4241941902109033,0.8311397604415699,0.028068509733486405
501,283.0,7.88300835654596,30.0,0.26276694521819866,0.5148492387225608,0.08368574198317244
530,218.0,6.072423398328691,30.0,0.20241411327762301,0.39659764678981724,0.06549318937813496
151,204.0,5.682451253481894,25.0,0.22729805013927573,0.4453536877713176,0.06331008306553046
002,603.0,16.7966573816156,25.0,0.6718662952646239,1.3164131065005127,0.11788774088064292
212,71.0,1.977715877437326,8.0,0.24721448467966575,0.48437671310912317,0.06139986504200152
441,54.0,1.5041782729805013,4.0,0.37604456824512533,0.7367983805040182,0.1637329734453374
531,191.0,5.32033426183844,16.0,0.3325208913649025,0.651520790167905,0.044344346974778875
061,1961.0,54.62395543175488,45.0,1.2138656762612194,2.3783730438985677,0.02061822628570915
360,182.0,5.069637883008356,20.0,0.25348189415041783,0.49665668611752345,0.04639100914284559
322,257.0,7.158774373259052,14.0,0.5113410266613608,1.0018898613202787,0.04678084955581068
242,422.0,11.754874651810585,18.0,0.6530485917672547,1.2795428665543034,0.03638510521007497
