Mo_200Sb_25Se_1 2026-07-09 10-35-34		Mo_200Sb_25Se_2 2026-07-09 10-37-35		Mo_200Sb_25Se_3 2026-07-09 10-39-51		Mo_200Sb_25Se_4 2026-07-09 10-41-36		Mo_200Sb_25Se_5 2026-07-09 10-43-16		Mo_200Sb_25Se_6 2026-07-09 10-44-50		Mo_200Sb_25Se_7 2026-07-09 10-46-49		Mo_200Sb_25Se_9 2026-07-09 10-48-24		Mo_200Sb_25Se_10 2026-07-09 10-49-56		Mo_200Sb_25Se_11 2026-07-09 10-51-10		Mo_200Sb_25Se_12 2026-07-09 10-52-29		Mo_200Sb_25Se_13 2026-07-09 10-54-24		Mo_200Sb_25Se_14 2026-07-09 10-55-42	
Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas
-0.02955000	0.00251448	-0.02955000	0.00088508	-0.02955000	0.00204726	-0.02955000	0.00172327	-0.02955000	0.00188852	-0.02955000	0.00145387	-0.02955000	0.00178660	-0.02955000	0.00132350	-0.02955000	0.00157623	-0.02955000	0.00147665	-0.02955000	0.00191307	-0.02955000	0.00079677	-0.02955000	0.00200636
-0.02485000	0.00250276	-0.02485000	0.00088233	-0.02485000	0.00201624	-0.02485000	0.00171169	-0.02485000	0.00187973	-0.02485000	0.00142570	-0.02485000	0.00170358	-0.02485000	0.00127987	-0.02485000	0.00156567	-0.02485000	0.00145303	-0.02485000	0.00190956	-0.02485000	0.00079504	-0.02485000	0.00198878
-0.02015000	0.00249095	-0.02015000	0.00087914	-0.02015000	0.00198677	-0.02015000	0.00170056	-0.02015000	0.00187192	-0.02015000	0.00139663	-0.02015000	0.00162054	-0.02015000	0.00123485	-0.02015000	0.00155459	-0.02015000	0.00142924	-0.02015000	0.00190317	-0.02015000	0.00079344	-0.02015000	0.00197341
-0.01545000	0.00248161	-0.01545000	0.00087573	-0.01545000	0.00195504	-0.01545000	0.00168760	-0.01545000	0.00186143	-0.01545000	0.00136824	-0.01545000	0.00153575	-0.01545000	0.00118884	-0.01545000	0.00154388	-0.01545000	0.00140454	-0.01545000	0.00189809	-0.01545000	0.00079139	-0.01545000	0.00195674
-0.01075000	0.00246605	-0.01075000	0.00087276	-0.01075000	0.00192314	-0.01075000	0.00167557	-0.01075000	0.00185154	-0.01075000	0.00133906	-0.01075000	0.00145214	-0.01075000	0.00114249	-0.01075000	0.00153222	-0.01075000	0.00137996	-0.01075000	0.00189378	-0.01075000	0.00078985	-0.01075000	0.00194189
-0.00605000	0.00245630	-0.00605000	0.00086970	-0.00605000	0.00189102	-0.00605000	0.00166451	-0.00605000	0.00184246	-0.00605000	0.00131025	-0.00605000	0.00136782	-0.00605000	0.00109506	-0.00605000	0.00151916	-0.00605000	0.00135569	-0.00605000	0.00188731	-0.00605000	0.00078764	-0.00605000	0.00192468
-0.00135000	0.00244501	-0.00135000	0.00086588	-0.00135000	0.00185800	-0.00135000	0.00165073	-0.00135000	0.00183215	-0.00135000	0.00128073	-0.00135000	0.00128345	-0.00135000	0.00104642	-0.00135000	0.00150742	-0.00135000	0.00133091	-0.00135000	0.00188107	-0.00135000	0.00078597	-0.00135000	0.00190731
0.00335000	0.00243404	0.00335000	0.00086010	0.00335000	0.00181778	0.00335000	0.00163251	0.00335000	0.00181688	0.00335000	0.00124959	0.00335000	0.00119853	0.00335000	0.00099588	0.00335000	0.00149472	0.00335000	0.00130504	0.00335000	0.00187398	0.00335000	0.00078422	0.00335000	0.00188941
0.00805000	0.00242132	0.00805000	0.00085732	0.00805000	0.00178725	0.00805000	0.00162051	0.00805000	0.00180875	0.00805000	0.00121957	0.00805000	0.00111251	0.00805000	0.00094487	0.00805000	0.00148152	0.00805000	0.00127984	0.00805000	0.00186765	0.00805000	0.00078168	0.00805000	0.00186861
0.01275000	0.00240846	0.01275000	0.00085384	0.01275000	0.00175319	0.01275000	0.00160547	0.01275000	0.00179763	0.01275000	0.00118965	0.01275000	0.00102806	0.01275000	0.00089288	0.01275000	0.00146733	0.01275000	0.00125462	0.01275000	0.00186162	0.01275000	0.00077938	0.01275000	0.00185132
