Mo_400deg_400Sb_35Se_1 2026-07-09 13-06-40		Mo_400deg_400Sb_35Se_2 2026-07-09 13-08-33		Mo_400deg_400Sb_35Se_3 2026-07-09 13-10-06		Mo_400deg_400Sb_35Se_6 2026-07-09 13-11-56		Mo_400deg_400Sb_35Se_10 2026-07-09 13-20-38		Mo_400deg_400Sb_35Se_11 2026-07-09 13-22-13		Mo_400deg_400Sb_35Se_12 2026-07-09 13-23-33		Mo_400deg_400Sb_35Se_7 2026-07-09 13-25-31		Mo_400deg_400Sb_35Se_8 2026-07-09 13-26-50		Mo_400deg_400Sb_35Se_9 2026-07-09 13-28-07	
Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas
-0.00135000	0.00128444	-0.00135000	0.00192224	-0.00135000	0.00161301	-0.00135000	0.00233321	-0.00135000	0.00134753	-0.00135000	0.00171800	-0.00135000	0.00149611	-0.00135000	0.00191791	-0.00135000	0.00135928	-0.00135000	0.00101097
0.00335000	0.00124256	0.00335000	0.00189427	0.00335000	0.00157463	0.00335000	0.00226443	0.00335000	0.00127586	0.00335000	0.00167763	0.00335000	0.00144970	0.00335000	0.00185007	0.00335000	0.00126827	0.00335000	0.00091913
0.00805000	0.00120052	0.00805000	0.00186786	0.00805000	0.00153751	0.00805000	0.00219365	0.00805000	0.00120491	0.00805000	0.00163702	0.00805000	0.00140469	0.00805000	0.00178174	0.00805000	0.00117946	0.00805000	0.00082839
0.01275000	0.00115878	0.01275000	0.00184027	0.01275000	0.00149996	0.01275000	0.00212254	0.01275000	0.00113371	0.01275000	0.00159665	0.01275000	0.00135668	0.01275000	0.00171441	0.01275000	0.00108977	0.01275000	0.00073751
0.01745000	0.00111656	0.01745000	0.00181239	0.01745000	0.00146119	0.01745000	0.00205041	0.01745000	0.00106236	0.01745000	0.00155472	0.01745000	0.00131139	0.01745000	0.00164683	0.01745000	0.00100063	0.01745000	0.00064641
0.02215000	0.00107408	0.02215000	0.00178505	0.02215000	0.00142110	0.02215000	0.00197957	0.02215000	0.00099096	0.02215000	0.00151285	0.02215000	0.00126432	0.02215000	0.00157894	0.02215000	0.00091080	0.02215000	0.00055536
0.02685000	0.00103237	0.02685000	0.00175683	0.02685000	0.00138323	0.02685000	0.00190676	0.02685000	0.00091870	0.02685000	0.00147215	0.02685000	0.00121754	0.02685000	0.00151198	0.02685000	0.00082033	0.02685000	0.00046467
0.03155000	0.00099061	0.03155000	0.00173086	0.03155000	0.00134556	0.03155000	0.00183657	0.03155000	0.00084729	0.03155000	0.00143263	0.03155000	0.00116999	0.03155000	0.00144400	0.03155000	0.00073156	0.03155000	0.00037437
0.03625000	0.00094795	0.03625000	0.00170369	0.03625000	0.00130636	0.03625000	0.00176561	0.03625000	0.00077586	0.03625000	0.00139038	0.03625000	0.00112423	0.03625000	0.00137649	0.03625000	0.00064083	0.03625000	0.00028301
0.04095000	0.00090555	0.04095000	0.00167658	0.04095000	0.00126651	0.04095000	0.00169330	0.04095000	0.00070434	0.04095000	0.00134854	0.04095000	0.00107718	0.04095000	0.00130668	0.04095000	0.00054995	0.04095000	0.00019151
0.04565000	0.00086209	0.04565000	0.00164836	0.04565000	0.00122723	0.04565000	0.00161944	0.04565000	0.00063259	0.04565000	0.00130646	0.04565000	0.00103039	0.04565000	0.00123846	0.04565000	0.00045843	0.04565000	0.00009979
0.05035000	0.00081915	0.05035000	0.00162064	0.05035000	0.00118836	0.05035000	0.00154809	0.05035000	0.00055999	0.05035000	0.00126458	0.05035000	0.00098342	0.05035000	0.00117063	0.05035000	0.00036718	0.05035000	0.00000777
0.05505000	0.00077653	0.05505000	0.00159129	0.05505000	0.00114854	0.05505000	0.00147599	0.05505000	0.00048740	0.05505000	0.00122327	0.05505000	0.00093688	0.05505000	0.00110244	0.05505000	0.00027654	0.05505000	-0.00008547
0.05975000	0.00073287	0.05975000	0.00156479	0.05975000	0.00110835	0.05975000	0.00140158	0.05975000	0.00041479	0.05975000	0.00118072	0.05975000	0.00088955	0.05975000	0.00103309	0.05975000	0.00018527	0.05975000	-0.00017898
0.06445000	0.00069110	0.06445000	0.00153667	0.06445000	0.00106820	0.06445000	0.00132829	0.06445000	0.00034288	0.06445000	0.00114007	0.06445000	0.00084234	0.06445000	0.00096388	0.06445000	0.00009388	0.06445000	-0.00027171
0.06915000	0.00064775	0.06915000	0.00150876	0.06915000	0.00102846	0.06915000	0.00125509	0.06915000	0.00027227	0.06915000	0.00109731	0.06915000	0.00079529	0.06915000	0.00089516	0.06915000	-0.00000010	0.06915000	-0.00036511
