Mo_300Sb_35Se_2 2026-07-09 11-07-31		Mo_300Sb_35Se_3 2026-07-09 11-09-22		Mo_300Sb_35Se_4 2026-07-09 11-10-46		Mo_300Sb_35Se_5 2026-07-09 11-13-26		Mo_300Sb_35Se_6 2026-07-09 11-14-48		Mo_300Sb_35Se_7 2026-07-09 11-18-27		Mo_300Sb_35Se_8 2026-07-09 11-27-24		Mo_300Sb_35Se_9 2026-07-09 11-33-11		Mo_300Sb_35Se_10 2026-07-09 11-38-09		Mo_300Sb_35Se_11 2026-07-09 11-44-14		Mo_300Sb_35Se_12 2026-07-09 11-50-03	
Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas	Vmeas	Imeas
-0.10000000	0.00332693	-0.10000000	0.00313048	-0.10000000	0.00229639	-0.10000000	0.00328749	-0.10000000	0.00359322	-0.10000000	0.00300159	-0.10000000	0.00685942	-0.10000000	0.00234940	-0.10000000	0.00291770	-0.10000000	0.00287489	-0.10000000	0.00247170
-0.09530000	0.00327005	-0.09530000	0.00307822	-0.09530000	0.00226724	-0.09530000	0.00325759	-0.09530000	0.00355831	-0.09530000	0.00293660	-0.09530000	0.00665713	-0.09530000	0.00233432	-0.09530000	0.00290076	-0.09530000	0.00286470	-0.09530000	0.00247012
-0.09060000	0.00321340	-0.09060000	0.00302659	-0.09060000	0.00223891	-0.09060000	0.00322756	-0.09060000	0.00352248	-0.09060000	0.00287035	-0.09060000	0.00645552	-0.09060000	0.00231710	-0.09060000	0.00288338	-0.09060000	0.00285135	-0.09060000	0.00246674
-0.08590000	0.00315754	-0.08590000	0.00297295	-0.08590000	0.00220912	-0.08590000	0.00319684	-0.08590000	0.00348743	-0.08590000	0.00280543	-0.08590000	0.00625257	-0.08590000	0.00230204	-0.08590000	0.00286555	-0.08590000	0.00283730	-0.08590000	0.00246221
-0.08120000	0.00310083	-0.08120000	0.00292090	-0.08120000	0.00218080	-0.08120000	0.00316535	-0.08120000	0.00345093	-0.08120000	0.00273901	-0.08120000	0.00604948	-0.08120000	0.00228363	-0.08120000	0.00284805	-0.08120000	0.00282312	-0.08120000	0.00245904
-0.07650000	0.00304235	-0.07650000	0.00286934	-0.07650000	0.00215131	-0.07650000	0.00313749	-0.07650000	0.00341536	-0.07650000	0.00267073	-0.07650000	0.00584447	-0.07650000	0.00226365	-0.07650000	0.00282959	-0.07650000	0.00280599	-0.07650000	0.00245823
-0.07180000	0.00298308	-0.07180000	0.00281505	-0.07180000	0.00212296	-0.07180000	0.00310524	-0.07180000	0.00337894	-0.07180000	0.00260296	-0.07180000	0.00563984	-0.07180000	0.00224323	-0.07180000	0.00280928	-0.07180000	0.00279106	-0.07180000	0.00245487
-0.06710000	0.00292214	-0.06710000	0.00276056	-0.06710000	0.00209371	-0.06710000	0.00307534	-0.06710000	0.00334244	-0.06710000	0.00253701	-0.06710000	0.00543361	-0.06710000	0.00222427	-0.06710000	0.00279252	-0.06710000	0.00277777	-0.06710000	0.00245022
-0.06240000	0.00286248	-0.06240000	0.00270643	-0.06240000	0.00206333	-0.06240000	0.00304256	-0.06240000	0.00330727	-0.06240000	0.00246915	-0.06240000	0.00522700	-0.06240000	0.00220439	-0.06240000	0.00277390	-0.06240000	0.00276357	-0.06240000	0.00244651
-0.05770000	0.00280273	-0.05770000	0.00265076	-0.05770000	0.00203375	-0.05770000	0.00301060	-0.05770000	0.00326866	-0.05770000	0.00240047	-0.05770000	0.00502099	-0.05770000	0.00218437	-0.05770000	0.00275671	-0.05770000	0.00274940	-0.05770000	0.00244220
-0.05300000	0.00274463	-0.05300000	0.00259808	-0.05300000	0.00200304	-0.05300000	0.00298070	-0.05300000	0.00323133	-0.05300000	0.00233069	-0.05300000	0.00481381	-0.05300000	0.00216220	-0.05300000	0.00273903	-0.05300000	0.00273330	-0.05300000	0.00243784
-0.04830000	0.00268164	-0.04830000	0.00254247	-0.04830000	0.00197488	-0.04830000	0.00295131	-0.04830000	0.00319232	-0.04830000	0.00226227	-0.04830000	0.00460656	-0.04830000	0.00214055	-0.04830000	0.00271845	-0.04830000	0.00271892	-0.04830000	0.00243315
-0.04360000	0.00262103	-0.04360000	0.00248826	-0.04360000	0.00194670	-0.04360000	0.00291737	-0.04360000	0.00315469	-0.04360000	0.00219222	-0.04360000	0.00439666	-0.04360000	0.00211754	-0.04360000	0.00269806	-0.04360000	0.00270400	-0.04360000	0.00243000
-0.03895000	0.00256006	-0.03895000	0.00243323	-0.03895000	0.00191748	-0.03895000	0.00288447	-0.03895000	0.00311468	-0.03895000	0.00212479	-0.03895000	0.00418843	-0.03895000	0.00209568	-0.03895000	0.00268000	-0.03895000	0.00269002	-0.03895000	0.00242503
-0.03425000	0.00249738	-0.03425000	0.00237628	-0.03425000	0.00188848	-0.03425000	0.00285339	-0.03425000	0.00307651	-0.03425000	0.00205398	-0.03425000	0.00398155	-0.03425000	0.00207411	-0.03425000	0.00266116	-0.03425000	0.00267354	-0.03425000	0.00242115
-0.02955000	0.00243427	-0.02955000	0.00231973	-0.02955000	0.00185854	-0.02955000	0.00281907	-0.02955000	0.00303642	-0.02955000	0.00198398	-0.02955000	0.00377293	-0.02955000	0.00205137	-0.02955000	0.00264201	-0.02955000	0.00265941	-0.02955000	0.00241617
-0.02485000	0.00236979	-0.02485000	0.00226518	-0.02485000	0.00182785	-0.02485000	0.00278611	-0.02485000	0.00299784	-0.02485000	0.00191411	-0.02485000	0.00356107	-0.02485000	0.00202862	-0.02485000	0.00262337	-0.02485000	0.00264470	-0.02485000	0.00241238
-0.02015000	0.00230730	-0.02015000	0.00220983	-0.02015000	0.00179920	-0.02015000	0.00275162	-0.02015000	0.00295838	-0.02015000	0.00184349	-0.02015000	0.00335041	-0.02015000	0.00200493	-0.02015000	0.00260289	-0.02015000	0.00262947	-0.02015000	0.00240695
-0.01545000	0.00224350	-0.01545000	0.00215189	-0.01545000	0.00176828	-0.01545000	0.00271926	-0.01545000	0.00291684	-0.01545000	0.00177228	-0.01545000	0.00313770	-0.01545000	0.00198188	-0.01545000	0.00257983	-0.01545000	0.00261025	-0.01545000	0.00240251
-0.01075000	0.00217805	-0.01075000	0.00209418	-0.01075000	0.00173807	-0.01075000	0.00268637	-0.01075000	0.00287668	-0.01075000	0.00170096	-0.01075000	0.00292595	-0.01075000	0.00195877	-0.01075000	0.00256272	-0.01075000	0.00259565	-0.01075000	0.00239695
-0.00605000	0.00211341	-0.00605000	0.00203603	-0.00605000	0.00170697	-0.00605000	0.00264942	-0.00605000	0.00283471	-0.00605000	0.00163005	-0.00605000	0.00271383	-0.00605000	0.00193429	-0.00605000	0.00254158	-0.00605000	0.00258031	-0.00605000	0.00239209
-0.00135000	0.00204974	-0.00135000	0.00197735	-0.00135000	0.00167696	-0.00135000	0.00261822	-0.00135000	0.00279469	-0.00135000	0.00155750	-0.00135000	0.00249944	-0.00135000	0.00191163	-0.00135000	0.00252212	-0.00135000	0.00256514	-0.00135000	0.00238628
0.00335000	0.00198086	0.00335000	0.00192033	0.00335000	0.00164796	0.00335000	0.00258239	0.00335000	0.00275388	0.00335000	0.00148517	0.00335000	0.00228658	0.00335000	0.00188803	0.00335000	0.00250194	0.00335000	0.00254900	0.00335000	0.00238167
0.00805000	0.00191656	0.00805000	0.00186181	0.00805000	0.00161793	0.00805000	0.00254886	0.00805000	0.00271227	0.00805000	0.00141240	0.00805000	0.00207252	0.00805000	0.00186288	0.00805000	0.00247872	0.00805000	0.00253297	0.00805000	0.00237555
0.01275000	0.00185130	0.01275000	0.00180227	0.01275000	0.00158762	0.01275000	0.00251453	0.01275000	0.00266809	0.01275000	0.00133913	0.01275000	0.00185766	0.01275000	0.00183599	0.01275000	0.00245933	0.01275000	0.00251565	0.01275000	0.00237078
0.01745000	0.00178471	0.01745000	0.00174414	0.01745000	0.00155709	0.01745000	0.00247833	0.01745000	0.00262458	0.01745000	0.00126593	0.01745000	0.00164233	0.01745000	0.00181213	0.01745000	0.00243926	0.01745000	0.00249830	0.01745000	0.00236468
0.02215000	0.00171855	0.02215000	0.00168387	0.02215000	0.00152632	0.02215000	0.00244464	0.02215000	0.00258356	0.02215000	0.00119202	0.02215000	0.00142708	0.02215000	0.00178810	0.02215000	0.00241644	0.02215000	0.00247868	0.02215000	0.00235849
0.02685000	0.00165175	0.02685000	0.00162543	0.02685000	0.00149547	0.02685000	0.00240787	0.02685000	0.00253835	0.02685000	0.00111882	0.02685000	0.00120949	0.02685000	0.00176087	0.02685000	0.00239601	0.02685000	0.00246042	0.02685000	0.00235313
0.03155000	0.00158300	0.03155000	0.00156644	0.03155000	0.00146420	0.03155000	0.00237126	0.03155000	0.00249207	0.03155000	0.00104421	0.03155000	0.00099532	0.03155000	0.00173455	0.03155000	0.00237538	0.03155000	0.00244245	0.03155000	0.00234491
0.03625000	0.00151536	0.03625000	0.00150619	0.03625000	0.00143425	0.03625000	0.00233392	0.03625000	0.00245012	0.03625000	0.00096837	0.03625000	0.00077725	0.03625000	0.00170982	0.03625000	0.00235479	0.03625000	0.00242494	0.03625000	0.00234020
0.04095000	0.00144811	0.04095000	0.00144758	0.04095000	0.00140366	0.04095000	0.00229912	0.04095000	0.00240658	0.04095000	0.00089088	0.04095000	0.00055709	0.04095000	0.00168311	0.04095000	0.00233349	0.04095000	0.00240858	0.04095000	0.00233225
0.04565000	0.00137946	0.04565000	0.00138549	0.04565000	0.00137274	0.04565000	0.00226234	0.04565000	0.00236078	0.04565000	0.00081721	0.04565000	0.00033501	0.04565000	0.00165788	0.04565000	0.00231213	0.04565000	0.00239078	0.04565000	0.00232491
0.05035000	0.00131106	0.05035000	0.00132588	0.05035000	0.00134234	0.05035000	0.00222469	0.05035000	0.00231283	0.05035000	0.00074197	0.05035000	0.00011468	0.05035000	0.00163275	0.05035000	0.00228834	0.05035000	0.00237260	0.05035000	0.00231766
0.05505000	0.00124262	0.05505000	0.00126587	0.05505000	0.00131128	0.05505000	0.00218671	0.05505000	0.00226989	0.05505000	0.00066440	0.05505000	-0.00010638	0.05505000	0.00160612	0.05505000	0.00226481	0.05505000	0.00235014	0.05505000	0.00230866
0.05975000	0.00117350	0.05975000	0.00120606	0.05975000	0.00127856	0.05975000	0.00214817	0.05975000	0.00222344	0.05975000	0.00058700	0.05975000	-0.00032821	0.05975000	0.00157850	0.05975000	0.00224046	0.05975000	0.00233237	0.05975000	0.00230064
0.06445000	0.00110418	0.06445000	0.00114437	0.06445000	0.00124795	0.06445000	0.00210908	0.06445000	0.00217815	0.06445000	0.00050879	0.06445000	-0.00055047	0.06445000	0.00155089	0.06445000	0.00221865	0.06445000	0.00231324	0.06445000	0.00229284
0.06915000	0.00103373	0.06915000	0.00108333	0.06915000	0.00121591	0.06915000	0.00206978	0.06915000	0.00213102	0.06915000	0.00043069	0.06915000	-0.00077487	0.06915000	0.00152590	0.06915000	0.00219482	0.06915000	0.00229181	0.06915000	0.00228291
0.07385000	0.00096341	0.07385000	0.00102034	0.07385000	0.00118495	0.07385000	0.00203249	0.07385000	0.00208420	0.07385000	0.00035272	0.07385000	-0.00100162	0.07385000	0.00149895	0.07385000	0.00217157	0.07385000	0.00227178	0.07385000	0.00227267
